case,category,categoryBig,mistake,freq,interesting,falseValue
спеціал<span class="strike">и</span>ст,спеціаліст,інше,TRUE,153,yes,42315
спеціаліст,спеціаліст,інше,FALSE,42315,,42315
упра<span class="strike">і</span>ління,управління,інше,TRUE,2,,51986
упра<span class="strike">вв</span>ління,управління,інше,TRUE,2,,51986
управлінн<span class="strike">і</span>я,управління,інше,TRUE,2,,51986
упра<span class="strike">и</span>ління,управління,інше,TRUE,2,,51986
управлінн<span class="strike">а</span>,управління,інше,TRUE,2,,51986
упр<span class="strike">о</span>вління,управління,інше,TRUE,2,yes,51986
управл<span class="strike">н</span>іння,управління,інше,TRUE,2,,51986
уп<span class="strike">л</span>авління,управління,інше,TRUE,2,,51986
у<span class="strike">а</span>равління,управління,інше,TRUE,2,,51986
упр<span class="strike">о</span>авління,управління,інше,TRUE,2,,51986
управл<span class="strike">ї</span>ння,управління,інше,TRUE,2,,51986
<span class="strike">к</span>правління,управління,інше,TRUE,2,,51986
управл<span class="strike">е</span>ння,управління,інше,TRUE,4,,51986
управ<span class="strike">а</span>ління,управління,інше,TRUE,4,,51986
управ<span class="strike">лл</span>іння,управління,інше,TRUE,4,,51986
управлі<span class="strike">в</span>ння,управління,інше,TRUE,4,,51986
управл<span class="strike">іі</span>ння,управління,інше,TRUE,4,,51986
управління<span class="strike">з</span>,управління,інше,TRUE,4,,51986
управ<span class="strike">н</span>іння,управління,інше,TRUE,5,,51986
упр<span class="strike">п</span>авління,управління,інше,TRUE,5,,51986
упра<span class="strike">п</span>вління,управління,інше,TRUE,5,,51986
управл<span class="strike">в</span>ння,управління,інше,TRUE,6,,51986
управлі<span class="strike">нн</span>,управління,інше,TRUE,7,,51986
управління<span class="strike">і</span>,управління,інше,TRUE,8,,51986
у<span class="strike">па</span>вління,управління,інше,TRUE,10,,51986
упра<span class="strike">вл</span>ння,управління,інше,TRUE,11,,51986
управл<span class="strike">и</span>ння,управління,інше,TRUE,13,,51986
упра<span class="strike">ві</span>ння,управління,інше,TRUE,14,,51986
<span class="strike">ур</span>авління,управління,інше,TRUE,15,yes,51986
управ<span class="strike">і</span>ління,управління,інше,TRUE,19,,51986
уп<span class="strike">рв</span>ління,управління,інше,TRUE,21,,51986
управлі<span class="strike">ннн</span>я,управління,інше,TRUE,34,,51986
управлі<span class="strike">н</span>я,управління,інше,TRUE,80,,51986
упр<span class="strike">ал</span>іння,управління,інше,TRUE,86,,51986
управління,управління,інше,FALSE,51986,,51986
фа<span class="strike">к</span>івець,фахівець,інше,TRUE,2,yes,4676
фа<span class="strike">ц</span>івець,фахівець,інше,TRUE,2,,4676
ф<span class="strike">і</span>хівець,фахівець,інше,TRUE,2,yes,4676
фахів<span class="strike">еь</span>,фахівець,інше,TRUE,2,,4676
фа<span class="strike">з</span>івець,фахівець,інше,TRUE,2,,4676
фа<span class="strike">г</span>івець,фахівець,інше,TRUE,2,,4676
фа<span class="strike">ї</span>івець,фахівець,інше,TRUE,2,,4676
ф<span class="strike">о</span>хівець,фахівець,інше,TRUE,4,yes,4676
фахівец<span class="strike">і</span>,фахівець,інше,TRUE,4,,4676
фахів<span class="strike">к</span>ць,фахівець,інше,TRUE,4,,4676
фахіве<span class="strike">л</span>ь,фахівець,інше,TRUE,4,yes,4676
ф<span class="strike">аі</span>вець,фахівець,інше,TRUE,4,,4676
<span class="strike">в</span>ахівець,фахівець,інше,TRUE,4,yes,4676
фа<span class="strike">хв</span>ець,фахівець,інше,TRUE,6,,4676
фах<span class="strike">іе</span>ць,фахівець,інше,TRUE,6,,4676
фахі<span class="strike">вц</span>ь,фахівець,інше,TRUE,8,,4676
фахі<span class="strike">ф</span>ець,фахівець,інше,TRUE,10,yes,4676
фах<span class="strike">и</span>вець,фахівець,інше,TRUE,14,yes,4676
фахіве<span class="strike">ц</span>,фахівець,інше,TRUE,26,yes,4676
фахівець,фахівець,інше,FALSE,4676,,4676
фель<span class="strike">ш</span>ер,фельдшер,інше,TRUE,26,yes,379
фельдшер,фельдшер,інше,FALSE,379,,379
юр<span class="strike">і</span>сконсульт,юрисконсульт,інше,TRUE,2,,1514
юрис<span class="strike">т</span>консультант,юрисконсульт,інше,TRUE,2,,1514
юриск<span class="strike">р</span>нсульт,юрисконсульт,інше,TRUE,2,,1514
юрисконс<span class="strike">т</span>ульт,юрисконсульт,інше,TRUE,2,yes,1514
юрискон<span class="strike">к</span>сульт,юрисконсульт,інше,TRUE,2,,1514
юрисконсул<span class="strike">ю</span>т,юрисконсульт,інше,TRUE,2,yes,1514
ю<span class="strike">рс</span>консульт,юрисконсульт,інше,TRUE,2,,1514
юрискон<span class="strike">ц</span>ульт,юрисконсульт,інше,TRUE,2,yes,1514
юриск<span class="strike">ос</span>ульт,юрисконсульт,інше,TRUE,4,,1514
юрисконсул<span class="strike">ь</span>,юрисконсульт,інше,TRUE,4,,1514
юрис<span class="strike">т</span>консульт,юрисконсульт,інше,TRUE,56,yes,1514
юрисконсульт,юрисконсульт,інше,FALSE,1514,,1514
